Problems,Time_Solver-Pypy
100_1000_1_4_5,0.2028810977935791
100_1000_1_5_5,0.22337627410888672
100_1000_2_1_5,0.043639183044433594
100_1000_2_2_5,0.1289207935333252
100_1000_2_3_5,0.17386174201965332
100_1000_2_4_5,0.2136213779449463
100_1000_2_5_5,0.2862510681152344
100_1000_3_1_5,0.042638301849365234
100_1000_3_2_5,0.1592092514038086
100_1000_3_3_5,0.200164794921875
100_1000_3_4_5,0.16271448135375977
100_1000_3_5_5,0.2263166904449463
100_1000_4_1_5,0.048924922943115234
100_1000_4_2_5,0.07116580009460449
100_1000_4_3_5,0.15443682670593262
100_1000_4_4_5,0.13531804084777832
100_1000_4_5_5,0.21109890937805176
500_50_1_1_5,0.04746556282043457
500_50_1_2_5,0.17301559448242188
500_50_1_3_5,0.2005610466003418
500_50_1_4_5,0.20250272750854492
500_50_1_5_5,0.2414546012878418
500_50_2_1_5,0.0892953872680664
500_50_2_2_5,0.0994422435760498
500_50_2_3_5,0.19583535194396973
500_50_2_4_5,0.24703431129455566
500_50_2_5_5,0.2557249069213867
500_50_3_1_5,0.07298088073730469
500_50_3_2_5,0.10713028907775879
500_50_3_3_5,0.14415335655212402
500_50_3_4_5,0.2443852424621582
500_50_3_5_5,0.3778798580169678
500_50_4_1_5,0.04100227355957031
500_50_4_2_5,0.17626595497131348
500_50_4_3_5,0.1319589614868164
500_50_4_4_5,0.20937681198120117
500_50_4_5_5,0.26844072341918945
500_100_1_1_5,0.14500951766967773
500_100_1_2_5,0.23926019668579102
500_100_1_3_5,0.329465389251709
500_100_1_4_5,0.40598225593566895
500_100_1_5_5,0.6082472801208496
500_100_2_1_5,0.09269285202026367
500_100_2_2_5,0.23903489112854004
500_100_2_3_5,0.3929007053375244
500_100_2_4_5,0.45096397399902344
500_100_2_5_5,0.6086792945861816
500_100_3_1_5,0.09773397445678711
500_100_3_2_5,0.22688937187194824
500_100_3_3_5,0.35132861137390137
500_100_3_4_5,0.4390835762023926
500_100_3_5_5,0.5027458667755127
500_100_4_1_5,0.14388585090637207
500_100_4_2_5,0.2274792194366455
500_100_4_3_5,0.2887566089630127
500_100_4_4_5,0.406369686126709
500_100_4_5_5,0.5278565883636475
500_500_1_1_5,0.6084065437316895
500_500_1_2_5,1.278634786605835
500_500_1_3_5,1.7826199531555176
500_500_1_4_5,2.5989060401916504
500_500_1_5_5,2.849414110183716
500_500_2_1_5,0.49236607551574707
500_500_2_2_5,1.2628669738769531
500_500_2_3_5,2.0649170875549316
500_500_2_4_5,2.4466986656188965
500_500_2_5_5,3.2301313877105713
500_500_3_1_5,0.4927995204925537
500_500_3_2_5,1.0859408378601074
500_500_3_3_5,1.754366397857666
500_500_3_4_5,2.2732441425323486
500_500_3_5_5,2.6403677463531494
500_500_4_1_5,0.46427392959594727
500_500_4_2_5,1.0637423992156982
500_500_4_3_5,1.8810639381408691
500_500_4_4_5,2.021352529525757
500_500_4_5_5,2.986623764038086
500_1000_1_1_5,1.16829514503479
500_1000_1_2_5,2.939786195755005
500_1000_1_3_5,3.7240700721740723
500_1000_1_4_5,5.292940616607666
500_1000_1_5_5,5.549448251724243
500_1000_2_1_5,1.1279652118682861
500_1000_2_2_5,2.439737558364868
500_1000_2_3_5,3.343747854232788
500_1000_2_4_5,5.0688323974609375
500_1000_2_5_5,5.473517656326294
500_1000_3_1_5,1.1089401245117188
500_1000_3_2_5,2.1838812828063965
500_1000_3_3_5,3.3050694465637207
500_1000_3_4_5,4.8220906257629395
500_1000_3_5_5,5.66836404800415
500_1000_4_1_5,1.204854965209961
500_1000_4_2_5,2.7790093421936035
500_1000_4_3_5,4.11365008354187
500_1000_4_4_5,4.429110765457153
500_1000_4_5_5,5.438104867935181
