Problems,Time_OR-Tools,Time_Solver-CPython,Total_value,Total_weight
100_1000_3_2_5,0.0838338819994533,1.8634006520005642,17535,16965
100_1000_3_3_5,0.16061389000242343,2.9716332649986725,27192,26502
100_1000_3_4_5,0.23868954199861037,3.8071947190001083,33697,32887
100_1000_3_5_5,0.35197336199780693,4.65030521099834,40603,39693
100_1000_4_1_5,0.0026090220017067622,0.9904249590035761,8998,8998
100_1000_4_2_5,0.011488280000776285,1.7860691090027103,16965,16965
100_1000_4_3_5,0.04442507799831219,2.890036589000374,26502,26502
100_1000_4_4_5,0.1262038319982821,4.463124328998674,32887,32887
100_1000_4_5_5,0.244942148001428,5.0980400439984805,39693,39693
500_50_1_1_5,0.10834199600139982,1.4397879620009917,5900,2147
500_50_1_2_5,0.3014812580004218,2.6255386439988797,8111,4322
500_50_1_3_5,0.6255688249984814,4.173588458001177,10227,6410
500_50_1_4_5,0.9983878589991946,5.2934900729997025,11913,8222
500_50_1_5_5,1.5014573720000044,6.909636967997358,12777,10820
500_50_2_1_5,0.07575554999857559,1.5233793430015794,2629,2147
500_50_2_2_5,0.2647044660006941,2.9479902950006363,4968,4322
500_50_2_3_5,0.4880922120028117,4.456563735002419,7139,6410
500_50_2_4_5,0.8401345170022978,5.110498891001043,8921,8222
500_50_2_5_5,1.379498878002778,7.201798129000963,11243,10820
500_50_3_1_5,0.150385880999238,1.4050208059998113,4218,2138
500_50_3_2_5,0.4304451610005344,2.6983448729988595,7090,4190
500_50_3_3_5,0.7756613109995669,3.5483099939992826,9723,6173
500_50_3_4_5,1.1118347640003776,5.838155037999968,12388,8308
500_50_3_5_5,1.638581780000095,7.097306135001418,15371,10821
500_50_4_1_5,0.009216378999553854,1.1313761589990463,2138,2138
500_50_4_2_5,0.06312987800265546,2.1452449899989006,4190,4190
500_50_4_3_5,0.17991525899924454,3.017161544001283,6173,6173
500_50_4_4_5,0.428981428998668,3.2842240919999313,8308,8308
500_50_4_5_5,0.8207490010026959,4.311749729000439,10821,10821
500_100_1_1_5,0.16979189199992106,1.5880518349986232,12563,4072
500_100_1_2_5,0.5328156539981137,3.590477097000985,16455,8372
500_100_1_3_5,1.0020428870011528,5.011583858999074,20925,12210
500_100_1_4_5,1.662302799999452,6.602169003999734,22659,16256
500_100_1_5_5,2.6295371119995252,8.403904441001941,25576,21153
500_100_2_1_5,0.12850018199969782,1.6222764099984488,5007,4072
500_100_2_2_5,0.40269205900040106,3.307619564999186,9630,8372
500_100_2_3_5,0.8007093519991031,4.979716469002597,13666,12210
500_100_2_4_5,1.2901756560022477,7.542424403996847,17476,16256
500_100_2_5_5,2.3723758380001527,9.518165690999012,22110,21153
500_100_3_1_5,0.22608199000023887,1.9374935749983706,6280,4280
500_100_3_2_5,0.7696553200003109,4.619802762998006,11213,8323
500_100_3_3_5,1.405877152003086,5.883624604997749,15823,12273
500_100_3_4_5,1.9334089459989627,6.582998142002907,20398,16308
500_100_3_5_5,2.976412840998819,10.019969081000454,26205,21655
500_100_4_1_5,0.015034366002510069,1.8087248430019827,4280,4280
500_100_4_2_5,0.11350865400163457,4.107928613997501,8323,8323
500_100_4_3_5,0.390467189001356,5.583031183999992,12273,12273
500_100_4_4_5,0.9298677709994081,7.231767453999055,16308,16308
500_100_4_5_5,1.6727742869989015,9.305653335999523,21655,21655
500_500_1_1_5,0.9322457929993107,9.346913254998071,62328,20239
500_500_1_2_5,3.341054233002069,18.412296182999853,79974,42668
500_500_1_3_5,5.81612073100041,32.27739018200009,103044,64710
500_500_1_4_5,11.658954811002332,41.200292827998055,114940,82254
500_500_1_5_5,15.062534428001527,54.52708339899982,128608,104567
500_500_2_1_5,0.8548492020017875,12.055293500001426,24446,20239
500_500_2_2_5,2.8230144870030927,31.574893970999256,48459,42672
500_500_2_3_5,6.5000729610001144,31.076617811999313,70918,64710
500_500_2_4_5,8.03882183099995,41.20268821300124,88937,82256
500_500_2_5_5,15.737888444000419,67.29083673399873,109432,104570
500_500_3_1_5,1.2979711450025206,9.56476640099936,23333,21313
500_500_3_2_5,3.9661410249973414,19.303897629997664,45417,42557
500_500_3_3_5,7.393145618996641,33.44758655999976,68573,65073
500_500_3_4_5,11.778542833999381,44.99818519999826,87322,83242
500_500_3_5_5,17.97314371000175,56.39682182699835,113028,108488
500_500_4_1_5,0.07902886200099601,11.625076636002632,21313,21313
500_500_4_2_5,0.6357546779981931,19.185364116001438,42557,42557
500_500_4_3_5,2.261168914999871,31.680093700000725,65073,65073
500_500_4_4_5,5.934866506999242,36.33365980800227,83242,83242
500_500_4_5_5,14.137047447999066,61.78835378200165,108488,108488
500_1000_1_1_5,2.406141862000368,24.92204736399799,122093,41405
500_1000_1_2_5,8.013296230001288,48.79585240099914,161592,84330
500_1000_1_3_5,15.86393878799936,78.82234234699717,204633,124456
500_1000_1_4_5,22.376746620997437,81.59259610300069,230711,171920
500_1000_1_5_5,34.80007360300078,94.21363419800036,252403,209557
500_1000_2_1_5,1.358096526000736,18.601508242001728,48883,41406
500_1000_2_2_5,5.211030102997029,42.6622027730009,96131,84338
500_1000_2_3_5,10.151254240998242,55.15506216600261,136708,124460
500_1000_2_4_5,16.325710255001468,71.02819517699754,182466,171922
500_1000_2_5_5,22.780918462001864,88.75500783200187,217026,209570
500_1000_3_1_5,2.5048932030003925,20.790582081001048,45303,43313
500_1000_3_2_5,8.477445395001268,36.40268301300239,86633,83723
500_1000_3_3_5,13.176891585000703,53.94370475800315,132833,129323
500_1000_3_4_5,21.371885507000115,79.40733784100303,174635,170575
500_1000_3_5_5,37.37663119100034,131.99424249000003,222195,217655
500_1000_4_1_5,0.18979051499991328,23.013926275001722,43313,43313
500_1000_4_2_5,1.5559886939990974,43.68684038699939,83723,83723
500_1000_4_3_5,4.674955440001213,66.32319387000098,129323,129323
500_1000_4_4_5,12.872845563000737,81.97066056599942,170575,170575
500_1000_4_5_5,21.656307143999584,97.94122819199765,217655,217655
